Animal,Class,Scientific Name,Sound / Vocalization,Emotion Label,Context / Trigger
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,"Alarm call, harsh chips",Alarm/Alert,
Pied Bushchat variant 21,Bird,Saxicola caprata,Mobbing calls,Group Alarm,
House Sparrow variant 0,Bird,Passer domesticus,Distress squeal,Distress/Separation,
Brahminy Kite variant 8,Bird,Haliastur indus,Fleeing chatter,Fear/Escape,
Sarus Crane,Bird,Grus antigone,"Song, melodious trills",Courtship/Excited,
Common Kingfisher variant 10,Bird,Alcedo atthis,Soft contact calls,Content/Comfort,when threatened
Indian Pond Heron variant 9,Bird,Ardeola grayii,Bill-clacking,Threat,
Red Panda,Mammal,Ailurus fulgens,Loud bawl,Distress/Alarm,
Mugger Crocodile,Reptile,Crocodylus palustris,Low growl-like hiss,Alarm/Alert,
Spoonbill,Bird,Platalea leucorodia,Purring or soft chatter,Affiliative/Relaxed,
Fishing Cat,Mammal,Prionailurus viverrinus,Loud bawl,Distress/Alarm,
Leopard Cat,Mammal,Prionailurus bengalensis,"Trumpet, rumble",Alarm/Excited,near nesting site
Common Toad,Amphibian,Duttaphrynus melanostictus,Clicking,Exploration,
Little Egret,Bird,Egretta garzetta,"Song, melodious trills",Courtship/Excited,
Indian Grey Mongoose,Mammal,Herpestes edwardsii,"Purr, contented vocalization",Contentment/Relaxed,
Striped Hyena variant 66,Mammal,Hyaena hyaena,"Squeak, contact call",Contact/Neutral,
Greater Coucal variant 17,Bird,Centropus sinensis,Fleeing chatter,Fear/Escape,near nesting site
Sandpiper,Bird,Scolopacidae sp.,Bill-clacking,Threat,
Indian Hare,Mammal,Lepus nigricollis,Mating call (vocal),Courtship/Excited,
Rhesus Macaque variant 43,Mammal,Macaca mulatta,"Purr, contented vocalization",Contentment/Relaxed,at dawn
Brahminy Kite,Bird,Haliastur indus,Soft contact calls,Content/Comfort,at dawn
Walking Catfish,Fish,Clarias batrachus,Fleeing dash,Fear,
Green Bee-eater variant 27,Bird,Merops orientalis,Soft contact calls,Content/Comfort,
Gray Wolf,Mammal,Canis lupus,"Bark, woof",Alert/Excited,
Bonnet Macaque,Mammal,Macaca radiata,"Bark, woof",Alert/Excited,
Sambar Deer variant 40,Mammal,Rusa unicolor,"Bark, woof",Alert/Excited,
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,Aggressive scolding,Aggression/Defense,
Kangaroo,Mammal,Macropus,Chittering,Playful,
Wild Boar,Mammal,Sus scrofa cristatus,"Growl, snarl",Aggression,
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,"Growl, snarl",Aggression,
Eurasian Eagle-Owl,Bird,Bubo bubo,Distress squeal,Distress/Separation,at dawn
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,"Trumpet, rumble",Alarm/Excited,during foraging
Star Tortoise,Reptile,Geochelone elegans,Tongue-flick (non-vocal),Exploration,
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,Aggressive scolding,Aggression/Defense,near nesting site
Greater Coucal variant 17,Bird,Centropus sinensis,"Chirp, cheep",Contact/Neutral,
Green Bee-eater variant 27,Bird,Merops orientalis,"Song, melodious trills",Courtship/Excited,
Nilgai,Mammal,Boselaphus tragocamelus,Hiss,Threat/Avoidance,when threatened
Striped Hyena,Mammal,Hyaena hyaena,Chittering,Playful,at dawn
Indian Rhinoceros,Mammal,Rhinoceros unicornis,"Squeak, contact call",Contact/Neutral,
Spoonbill,Bird,Platalea leucorodia,"Song, melodious trills",Courtship/Excited,
Indian Rock Python variant 68,Reptile,Python molurus,Silent (body-language),Neutral/Calm,
Indian Wolf,Mammal,Canis lupus pallipes,Hiss,Threat/Avoidance,
Kangaroo,Mammal,Macropus,Hiss,Threat/Avoidance,at dusk
Black Drongo,Bird,Dicrurus macrocercus,Purring or soft chatter,Affiliative/Relaxed,near nesting site
Brahminy Kite variant 8,Bird,Haliastur indus,Bill-clacking,Threat,
Russell's Viper,Reptile,Daboia russelii,Splash (aquatic),Startle/Escape,
Indian Rhinoceros,Mammal,Rhinoceros unicornis,Hiss,Threat/Avoidance,
Saw-scaled Viper,Reptile,Echis carinatus,Breathing sound,Relaxed,
Indian Rock Python variant 68,Reptile,Python molurus,Slow low moan,Distress,
Indian Peafowl,Bird,Pavo cristatus,Fleeing chatter,Fear/Escape,
White-throated Kingfisher,Bird,Halcyon smyrnensis,"Song, melodious trills",Courtship/Excited,
Green Bee-eater,Bird,Merops orientalis,Purring or soft chatter,Affiliative/Relaxed,
Butterfly,Insect,Lepidoptera,Clicking,Communication,
Gharial variant 77,Reptile,Gavialis gangeticus,Aggressive lunge sound,Aggression,during mating display
Red Junglefowl variant 22,Bird,Gallus gallus,"Alarm call, harsh chips",Alarm/Alert,near nesting site
Garden Lizard variant 76,Reptile,Calotes versicolor,Low growl-like hiss,Alarm/Alert,
Black Drongo variant 12,Bird,Dicrurus macrocercus,"Chirp, cheep",Contact/Neutral,
Wild Boar,Mammal,Sus scrofa cristatus,"Squeak, contact call",Contact/Neutral,
Brahminy Starling,Bird,Sturnia pagodarum,Bill-clacking,Threat,during mating display
Tree Sparrow,Bird,Passer montanus,Fleeing chatter,Fear/Escape,
Black-headed Ibis,Bird,Threskiornis melanocephalus,Soft contact calls,Content/Comfort,
Hanuman Langur,Mammal,Semnopithecus entellus,Chittering,Playful,when threatened
Sandpiper variant 24,Bird,Scolopacidae sp.,Aggressive scolding,Aggression/Defense,
Honey Bee,Insect,Apis cerana,Pheromone release (non-sound),Attraction,
Tree Sparrow,Bird,Passer montanus,Mobbing calls,Group Alarm,when separated from group
Plover,Bird,Charadriidae sp.,Fleeing chatter,Fear/Escape,
Domestic Sheep,Mammal,Ovis aries,Mating call (vocal),Courtship/Excited,
Common Carp,Fish,Cyprinus carpio,Grunting (some),Aggression,
Golden Jackal,Mammal,Canis aureus,"Squeak, contact call",Contact/Neutral,
Asian Openbill variant 30,Bird,Anastomus oscitans,"Chirp, cheep",Contact/Neutral,when separated from group
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Low growl-like hiss,Alarm/Alert,
Indian Courser,Bird,Cursorius coromandelicus,Bill-clacking,Threat,when threatened
Catla,Fish,Catla catla,Grunting (some),Aggression,at dawn
Catla,Fish,Catla catla,Mating vibration,Courtship,during mating display
Cattle Egret variant 11,Bird,Bubulcus ibis,Mobbing calls,Group Alarm,
Bengal Fox,Mammal,Vulpes bengalensis,"Bark, woof",Alert/Excited,
Great Indian Bustard,Bird,Ardeotis nigriceps,Wing-flap displays,Excitement/Display,at dusk
King Cobra,Reptile,Ophiophagus hannah,Tongue-flick (non-vocal),Exploration,
Brahminy Starling,Bird,Sturnia pagodarum,Purring or soft chatter,Affiliative/Relaxed,
Mountain Goat,Mammal,Oreamnos americanus,Loud bawl,Distress/Alarm,near nesting site
Indian Peafowl,Bird,Pavo cristatus,"Alarm call, harsh chips",Alarm/Alert,
Koala,Mammal,Phascolarctos cinereus,Chittering,Playful,
Ibis,Bird,Threskiornis sp.,Soft contact calls,Content/Comfort,
Nilgai,Mammal,Boselaphus tragocamelus,Mating call (vocal),Courtship/Excited,
Indian Elephant,Mammal,Elephas maximus indicus,"Bark, woof",Alert/Excited,
Russell's Viper,Reptile,Daboia russelii,Vocal chirp (rare),Contact,
Moorhen,Bird,Gallinula chloropus,"Alarm call, harsh chips",Alarm/Alert,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,Mating call (vocal),Courtship/Excited,
Mountain Goat,Mammal,Oreamnos americanus,"Squeak, contact call",Contact/Neutral,in presence of human
Golden Eagle,Bird,Aquila chrysaetos,Purring or soft chatter,Affiliative/Relaxed,during mating display
Indian Grey Mongoose,Mammal,Herpestes edwardsii,Loud bawl,Distress/Alarm,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Huffing,Defensive,
Little Egret,Bird,Egretta garzetta,"Mimicry, learned sounds",Curiosity/Exploration,in presence of human
Giant Panda,Mammal,Ailuropoda melanoleuca,Sniffing/grunting,Exploration/Foraging,
Barn Owl variant 14,Bird,Tyto alba,Soft contact calls,Content/Comfort,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,"Roar, long call",Territorial/Aggressive,
House Crow variant 4,Bird,Corvus splendens,Bill-clacking,Threat,
Hilsa,Fish,Tenualosa ilisha,Tail slap,Threat/Startle,
Bengal Fox variant 65,Mammal,Vulpes bengalensis,Chittering,Playful,
Pied Bushchat,Bird,Saxicola caprata,Fleeing chatter,Fear/Escape,
Snow Leopard,Mammal,Panthera uncia,"Squeak, contact call",Contact/Neutral,
Domestic Dog variant 58,Mammal,Canis familiaris,Sniffing/grunting,Exploration/Foraging,in presence of human
Green Bee-eater variant 27,Bird,Merops orientalis,Purring or soft chatter,Affiliative/Relaxed,at dawn
Indian Elephant,Mammal,Elephas maximus indicus,Hiss,Threat/Avoidance,
Butterfly,Insect,Lepidoptera,Pheromone release (non-sound),Attraction,when separated from group
Black-headed Ibis,Bird,Threskiornis melanocephalus,"Mimicry, learned sounds",Curiosity/Exploration,
Polar Bear,Mammal,Ursus maritimus,Loud bawl,Distress/Alarm,
House Sparrow,Bird,Passer domesticus,Wing-flap displays,Excitement/Display,during foraging
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,"Trumpet, rumble",Alarm/Excited,
Moorhen,Bird,Gallinula chloropus,Aggressive scolding,Aggression/Defense,
Tree Sparrow,Bird,Passer montanus,Aggressive scolding,Aggression/Defense,when threatened
Bengal Tiger,Mammal,Panthera tigris tigris,Hiss,Threat/Avoidance,
Brahminy Kite,Bird,Haliastur indus,Bill-clacking,Threat,near nesting site
Indian Hare variant 49,Mammal,Lepus nigricollis,"Trumpet, rumble",Alarm/Excited,
Common Kingfisher,Bird,Alcedo atthis,"Alarm call, harsh chips",Alarm/Alert,
Indian Rock Python,Reptile,Python molurus,Jaw clack,Threat,during mating display
Brahminy Kite variant 8,Bird,Haliastur indus,Aggressive scolding,Aggression/Defense,
King Cobra variant 69,Reptile,Ophiophagus hannah,Breathing sound,Relaxed,near nesting site
Spoonbill,Bird,Platalea leucorodia,Mobbing calls,Group Alarm,
Moorhen variant 26,Bird,Gallinula chloropus,Fleeing chatter,Fear/Escape,
Common Krait variant 70,Reptile,Bungarus caeruleus,Slow low moan,Distress,
Indian Pond Heron,Bird,Ardeola grayii,Purring or soft chatter,Affiliative/Relaxed,
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,"Alarm call, harsh chips",Alarm/Alert,
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,"Growl, snarl",Aggression,
Brahminy Kite variant 8,Bird,Haliastur indus,"Mimicry, learned sounds",Curiosity/Exploration,
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Jaw clack,Threat,near nesting site
Saltwater Crocodile,Reptile,Crocodylus porosus,Aggressive lunge sound,Aggression,at dawn
Asian Koel variant 3,Bird,Eudynamys scolopaceus,"Chirp, cheep",Contact/Neutral,in presence of human
Domestic Goat,Mammal,Capra hircus,"Growl, snarl",Aggression,
Russell's Viper variant 71,Reptile,Daboia russelii,Silent (body-language),Neutral/Calm,
Indian Hare variant 49,Mammal,Lepus nigricollis,Sniffing/grunting,Exploration/Foraging,
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,Wing-flap displays,Excitement/Display,
Tree Sparrow,Bird,Passer montanus,Bill-clacking,Threat,
Indian Hare,Mammal,Lepus nigricollis,"Purr, contented vocalization",Contentment/Relaxed,
Sloth Bear,Mammal,Melursus ursinus,"Squeak, contact call",Contact/Neutral,at dawn
Bonnet Macaque variant 44,Mammal,Macaca radiata,Hiss,Threat/Avoidance,near nesting site
Star Tortoise,Reptile,Geochelone elegans,Jaw clack,Threat,
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,Soft contact calls,Content/Comfort,at dusk
Garden Lizard variant 76,Reptile,Calotes versicolor,Silent (body-language),Neutral/Calm,during foraging
Indian Palm Squirrel,Mammal,Funambulus palmarum,"Growl, snarl",Aggression,
Indian Roller,Bird,Coracias benghalensis,Soft contact calls,Content/Comfort,
Domestic Sheep,Mammal,Ovis aries,"Squeak, contact call",Contact/Neutral,
Sarus Crane variant 19,Bird,Grus antigone,Fleeing chatter,Fear/Escape,
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,"Roar, long call",Territorial/Aggressive,
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,Purring or soft chatter,Affiliative/Relaxed,when separated from group
Himalayan Black Bear,Mammal,Ursus thibetanus,Loud bawl,Distress/Alarm,near nesting site
Indian Pangolin variant 48,Mammal,Manis crassicaudata,"Growl, snarl",Aggression,
Ibis,Bird,Threskiornis sp.,Bill-clacking,Threat,
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,Sniffing/grunting,Exploration/Foraging,
Hanuman Langur,Mammal,Semnopithecus entellus,"Purr, contented vocalization",Contentment/Relaxed,
Tree Sparrow variant 25,Bird,Passer montanus,Wing-flap displays,Excitement/Display,
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,Chittering,Playful,when separated from group
Chital,Mammal,Axis axis,"Whine, whimper",Distress/Anxious,
Asian Openbill,Bird,Anastomus oscitans,Distress squeal,Distress/Separation,
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,"Whine, whimper",Distress/Anxious,
Brahminy Kite variant 8,Bird,Haliastur indus,"Song, melodious trills",Courtship/Excited,during mating display
Red Junglefowl,Bird,Gallus gallus,Bill-clacking,Threat,when threatened
Bengal Fox,Mammal,Vulpes bengalensis,Chittering,Playful,
Rose-ringed Parakeet,Bird,Psittacula krameri,Fleeing chatter,Fear/Escape,when separated from group
Gray Wolf,Mammal,Canis lupus,"Squeak, contact call",Contact/Neutral,during foraging
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,Fleeing chatter,Fear/Escape,
Rose-ringed Parakeet,Bird,Psittacula krameri,Soft contact calls,Content/Comfort,when threatened
Indian Nightjar,Bird,Caprimulgus asiaticus,"Mimicry, learned sounds",Curiosity/Exploration,
Kangaroo,Mammal,Macropus,"Trumpet, rumble",Alarm/Excited,
Indian Vulture,Bird,Gyps indicus,Purring or soft chatter,Affiliative/Relaxed,
Great Indian Bustard,Bird,Ardeotis nigriceps,Mobbing calls,Group Alarm,
Indian Courser,Bird,Cursorius coromandelicus,"Chirp, cheep",Contact/Neutral,
Chital,Mammal,Axis axis,Chittering,Playful,
Woodpecker variant 18,Bird,Picidae sp.,Aggressive scolding,Aggression/Defense,
Domestic Goat,Mammal,Capra hircus,"Roar, long call",Territorial/Aggressive,in presence of human
Clownfish,Fish,Amphiprioninae,Distress thrashing,Distress,at dawn
Indian Leopard variant 36,Mammal,Panthera pardus fusca,"Whine, whimper",Distress/Anxious,
Indian Pond Heron,Bird,Ardeola grayii,"Song, melodious trills",Courtship/Excited,when separated from group
Red Junglefowl,Bird,Gallus gallus,Wing-flap displays,Excitement/Display,
Star Tortoise,Reptile,Geochelone elegans,Splash (aquatic) (variant),Startle/Escape,
Greater Coucal,Bird,Centropus sinensis,"Alarm call, harsh chips",Alarm/Alert,near nesting site
Leopard Cat,Mammal,Prionailurus bengalensis,"Bark, woof",Alert/Excited,
Black Drongo,Bird,Dicrurus macrocercus,Wing-flap displays,Excitement/Display,during foraging
Garden Lizard variant 76,Reptile,Calotes versicolor,Huffing,Defensive,
Indian Palm Squirrel,Mammal,Funambulus palmarum,"Roar, long call",Territorial/Aggressive,when separated from group
Little Egret,Bird,Egretta garzetta,Distress squeal,Distress/Separation,
Bonnet Macaque,Mammal,Macaca radiata,Hiss,Threat/Avoidance,
Rohu,Fish,Labeo rohita,Rapid splash,Alarm/Escape,
Hilsa,Fish,Tenualosa ilisha,Bubble streams,Exploration/Foraging,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,"Growl, snarl",Aggression,at dusk
Indian Grey Hornbill,Bird,Ocyceros birostris,Mobbing calls,Group Alarm,in presence of human
Indian Palm Squirrel,Mammal,Funambulus palmarum,Loud bawl,Distress/Alarm,
Domestic Sheep,Mammal,Ovis aries,"Bark, woof",Alert/Excited,at dusk
Koala,Mammal,Phascolarctos cinereus,"Bark, woof",Alert/Excited,at dawn
Indian Hare,Mammal,Lepus nigricollis,"Whine, whimper",Distress/Anxious,when threatened
Rhesus Macaque,Mammal,Macaca mulatta,"Purr, contented vocalization",Contentment/Relaxed,in presence of human
Tree Sparrow,Bird,Passer montanus,Wing-flap displays,Excitement/Display,
Indian Wolf,Mammal,Canis lupus pallipes,"Trumpet, rumble",Alarm/Excited,
Domestic Dog variant 58,Mammal,Canis familiaris,"Squeak, contact call",Contact/Neutral,at dawn
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,"Purr, contented vocalization",Contentment/Relaxed,in presence of human
House Crow,Bird,Corvus splendens,Fleeing chatter,Fear/Escape,when separated from group
Indian Pangolin,Mammal,Manis crassicaudata,Hiss,Threat/Avoidance,
Russell's Viper,Reptile,Daboia russelii,Slow low moan,Distress,when separated from group
Greater Coucal,Bird,Centropus sinensis,Soft contact calls,Content/Comfort,in presence of human
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,"Bark, woof",Alert/Excited,
Saw-scaled Viper,Reptile,Echis carinatus,Jaw clack,Threat,
Bengal Fox,Mammal,Vulpes bengalensis,"Roar, long call",Territorial/Aggressive,
Saltwater Crocodile,Reptile,Crocodylus porosus,Huffing,Defensive,
Indian Palm Squirrel,Mammal,Funambulus palmarum,"Squeak, contact call",Contact/Neutral,
Striped Hyena,Mammal,Hyaena hyaena,"Growl, snarl",Aggression,during mating display
King Cobra,Reptile,Ophiophagus hannah,Rattle (some species),Warning,when separated from group
White-throated Kingfisher,Bird,Halcyon smyrnensis,Mobbing calls,Group Alarm,when separated from group
Mountain Goat,Mammal,Oreamnos americanus,Sniffing/grunting,Exploration/Foraging,
Rhesus Macaque,Mammal,Macaca mulatta,Mating call (vocal),Courtship/Excited,
Common Kingfisher variant 10,Bird,Alcedo atthis,Aggressive scolding,Aggression/Defense,at dusk
Pied Bushchat,Bird,Saxicola caprata,Aggressive scolding,Aggression/Defense,
Nilgai,Mammal,Boselaphus tragocamelus,"Whine, whimper",Distress/Anxious,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,"Growl, snarl",Aggression,
Water Buffalo variant 55,Mammal,Bubalus bubalis,Chittering,Playful,
Small Indian Civet variant 64,Mammal,Viverricula indica,Chittering,Playful,
Domestic Cat variant 59,Mammal,Felis catus,"Trumpet, rumble",Alarm/Excited,
Russell's Viper,Reptile,Daboia russelii,Breathing sound,Relaxed,
Woodpecker variant 18,Bird,Picidae sp.,Purring or soft chatter,Affiliative/Relaxed,
Indian Peafowl,Bird,Pavo cristatus,Wing-flap displays,Excitement/Display,at dawn
Ibis,Bird,Threskiornis sp.,"Chirp, cheep",Contact/Neutral,
Indian Leopard,Mammal,Panthera pardus fusca,Hiss,Threat/Avoidance,when separated from group
Tree Frog,Amphibian,Rhacophoridae sp.,Low moan,Threat,
Little Egret,Bird,Egretta garzetta,Bill-clacking,Threat,when separated from group
Himalayan Tahr variant 54,Mammal,Hemitragus jemlahicus,Chittering,Playful,when separated from group
Bald Eagle,Bird,Haliaeetus leucocephalus,"Alarm call, harsh chips",Alarm/Alert,
Bonnet Macaque,Mammal,Macaca radiata,Mating call (vocal),Courtship/Excited,
Indian Monitor Lizard,Reptile,Varanus bengalensis,Jaw clack,Threat,
Saltwater Crocodile,Reptile,Crocodylus porosus,Silent (body-language),Neutral/Calm,
Rock Pigeon,Bird,Columba livia,Fleeing chatter,Fear/Escape,
Himalayan Tahr variant 54,Mammal,Hemitragus jemlahicus,"Purr, contented vocalization",Contentment/Relaxed,
Kangaroo,Mammal,Macropus,"Growl, snarl",Aggression,when threatened
Wild Ass,Mammal,Equus hemionus,"Bark, woof",Alert/Excited,
African Elephant,Mammal,Loxodonta africana,"Whine, whimper",Distress/Anxious,
Domestic Goat variant 56,Mammal,Capra hircus,"Squeak, contact call",Contact/Neutral,when threatened
Sandpiper variant 24,Bird,Scolopacidae sp.,Bill-clacking,Threat,
Red Junglefowl,Bird,Gallus gallus,Mobbing calls,Group Alarm,
Bald Eagle,Bird,Haliaeetus leucocephalus,Fleeing chatter,Fear/Escape,at dusk
Arctic Fox,Mammal,Vulpes lagopus,Sniffing/grunting,Exploration/Foraging,during mating display
Indian Wolf variant 50,Mammal,Canis lupus pallipes,Chittering,Playful,during foraging
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,Hiss,Threat/Avoidance,
Black Drongo variant 12,Bird,Dicrurus macrocercus,Soft contact calls,Content/Comfort,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,"Trumpet, rumble",Alarm/Excited,
Clownfish,Fish,Amphiprioninae,Feeding rasp,Excitement,when separated from group
Bengal Tiger,Mammal,Panthera tigris tigris,Loud bawl,Distress/Alarm,
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,"Growl, snarl",Aggression,near nesting site
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,Loud bawl,Distress/Alarm,when separated from group
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,Chittering,Playful,during foraging
Sloth Bear,Mammal,Melursus ursinus,"Whine, whimper",Distress/Anxious,
Rock Pigeon,Bird,Columba livia,Mobbing calls,Group Alarm,
Sandpiper,Bird,Scolopacidae sp.,"Song, melodious trills",Courtship/Excited,near water
Domestic Goat variant 56,Mammal,Capra hircus,Chittering,Playful,
Common Myna,Bird,Acridotheres tristis,Wing-flap displays,Excitement/Display,
Domestic Goat variant 56,Mammal,Capra hircus,"Growl, snarl",Aggression,
Barasingha,Mammal,Rucervus duvaucelii,"Roar, long call",Territorial/Aggressive,
Bengal Fox variant 65,Mammal,Vulpes bengalensis,Sniffing/grunting,Exploration/Foraging,
Little Egret,Bird,Egretta garzetta,Wing-flap displays,Excitement/Display,at dusk
Woodpecker,Bird,Picidae sp.,"Mimicry, learned sounds",Curiosity/Exploration,
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,"Whine, whimper",Distress/Anxious,
Giant Panda,Mammal,Ailuropoda melanoleuca,"Trumpet, rumble",Alarm/Excited,
Domestic Cat,Mammal,Felis catus,Hiss,Threat/Avoidance,
Tree Sparrow variant 25,Bird,Passer montanus,"Mimicry, learned sounds",Curiosity/Exploration,
Domestic Sheep,Mammal,Ovis aries,"Whine, whimper",Distress/Anxious,
Domestic Goat variant 56,Mammal,Capra hircus,Hiss,Threat/Avoidance,
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,"Trumpet, rumble (variant)",Alarm/Excited,near water
Tree Sparrow,Bird,Passer montanus,Distress squeal,Distress/Separation,during foraging
Greater Coucal,Bird,Centropus sinensis,Distress squeal,Distress/Separation,
Domestic Dog variant 58,Mammal,Canis familiaris,"Roar, long call",Territorial/Aggressive,
Woodpecker variant 18,Bird,Picidae sp.,"Song, melodious trills",Courtship/Excited,at dawn
Indian Hare,Mammal,Lepus nigricollis,"Trumpet, rumble",Alarm/Excited,
Common Toad,Amphibian,Duttaphrynus melanostictus,Distress calls,Distress,
Sambar Deer variant 40,Mammal,Rusa unicolor,"Whine, whimper",Distress/Anxious,near nesting site
Indian Rhinoceros,Mammal,Rhinoceros unicornis,Loud bawl,Distress/Alarm,
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,"Purr, contented vocalization",Contentment/Relaxed,
Star Tortoise,Reptile,Geochelone elegans,Low growl-like hiss,Alarm/Alert,
Eurasian Eagle-Owl,Bird,Bubo bubo,Fleeing chatter,Fear/Escape,near nesting site
Kangaroo,Mammal,Macropus,Sniffing/grunting,Exploration/Foraging,
Common Toad,Amphibian,Duttaphrynus melanostictus,Low moan,Threat,
Bengal Tiger,Mammal,Panthera tigris tigris,"Trumpet, rumble",Alarm/Excited,
Sambar Deer,Mammal,Rusa unicolor,"Purr, contented vocalization",Contentment/Relaxed,
Gharial variant 77,Reptile,Gavialis gangeticus,Slow low moan,Distress,
Black Drongo variant 12,Bird,Dicrurus macrocercus,Wing-flap displays,Excitement/Display,
Plover,Bird,Charadriidae sp.,"Alarm call, harsh chips",Alarm/Alert,at dawn
House Crow variant 4,Bird,Corvus splendens,Wing-flap displays,Excitement/Display,
Woodpecker,Bird,Picidae sp.,Distress squeal,Distress/Separation,near nesting site
African Elephant,Mammal,Loxodonta africana,"Roar, long call",Territorial/Aggressive,
Indian Flying Fox,Mammal,Pteropus giganteus,Hiss,Threat/Avoidance,
Indian Elephant,Mammal,Elephas maximus indicus,"Purr, contented vocalization",Contentment/Relaxed,
Wild Ass,Mammal,Equus hemionus,"Roar, long call",Territorial/Aggressive,
Woodpecker variant 18,Bird,Picidae sp.,Bill-clacking,Threat,
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,"Squeak, contact call",Contact/Neutral,
Indian Pangolin,Mammal,Manis crassicaudata,Loud bawl,Distress/Alarm,in presence of human
Plover variant 23,Bird,Charadriidae sp.,"Song, melodious trills",Courtship/Excited,in presence of human
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,"Purr, contented vocalization",Contentment/Relaxed,
Saw-scaled Viper,Reptile,Echis carinatus,Silent (body-language) (variant),Neutral/Calm,
Indian Pond Heron variant 9,Bird,Ardeola grayii,Soft contact calls,Content/Comfort,
Domestic Goat,Mammal,Capra hircus,"Whine, whimper",Distress/Anxious,
Red Panda,Mammal,Ailurus fulgens,"Bark, woof",Alert/Excited,
Russell's Viper,Reptile,Daboia russelii,Rattle (some species),Warning,in presence of human
Asiatic Lion,Mammal,Panthera leo persica,"Purr, contented vocalization",Contentment/Relaxed,in presence of human
Asiatic Lion variant 37,Mammal,Panthera leo persica,Loud bawl,Distress/Alarm,
Rock Pigeon variant 6,Bird,Columba livia,Mobbing calls,Group Alarm,
Woodpecker,Bird,Picidae sp.,Mobbing calls,Group Alarm,
Red Junglefowl variant 22,Bird,Gallus gallus,Wing-flap displays,Excitement/Display,
Small Indian Civet variant 64,Mammal,Viverricula indica,"Roar, long call",Territorial/Aggressive,
Barn Owl variant 14,Bird,Tyto alba,Wing-flap displays,Excitement/Display,during mating display
Brahminy Kite variant 8,Bird,Haliastur indus,Wing-flap displays,Excitement/Display,
Common Carp,Fish,Cyprinus carpio,Feeding rasp,Excitement,
Asian Koel,Bird,Eudynamys scolopaceus,Bill-clacking,Threat,during mating display
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,"Roar, long call",Territorial/Aggressive,
Garden Lizard variant 76,Reptile,Calotes versicolor,Hiss,Threat/Defense,
Sandpiper,Bird,Scolopacidae sp.,Mobbing calls,Group Alarm,
Himalayan Black Bear,Mammal,Ursus thibetanus,Hiss,Threat/Avoidance,
Indian Hare,Mammal,Lepus nigricollis,"Growl, snarl",Aggression,
Indian Wolf variant 50,Mammal,Canis lupus pallipes,"Bark, woof",Alert/Excited,
Pied Bushchat,Bird,Saxicola caprata,Distress squeal,Distress/Separation,
Indian Wolf variant 50,Mammal,Canis lupus pallipes,Sniffing/grunting,Exploration/Foraging,
Great Indian Bustard,Bird,Ardeotis nigriceps,Bill-clacking,Threat,
Gharial,Reptile,Gavialis gangeticus,Silent (body-language),Neutral/Calm,
Water Buffalo variant 55,Mammal,Bubalus bubalis,"Squeak, contact call",Contact/Neutral,at dawn
Common Krait variant 70,Reptile,Bungarus caeruleus,Jaw clack,Threat,
Indian Leopard,Mammal,Panthera pardus fusca,"Trumpet, rumble",Alarm/Excited,
Rohu,Fish,Labeo rohita,Bubble streams,Exploration/Foraging,during mating display
Indian Pangolin variant 48,Mammal,Manis crassicaudata,Chittering,Playful,near nesting site
Indian Nightjar,Bird,Caprimulgus asiaticus,Bill-clacking,Threat,
Bengal Tiger,Mammal,Panthera tigris tigris,"Roar, long call",Territorial/Aggressive,at dawn
